S0,Out,S5,1,S1,0,S2,8,S3,5,S8,3,In,S5,0,False
S1,Out,S5,3,S7,2,In,S0,0,S4,9,S16,0,False
S2,Out,S5,9,S6,3,S11,4,S13,0,In,S0,8,S3,5,S6,8,S12,6,False
S3,Out,S2,5,S4,6,S9,4,In,S0,5,S7,7,S11,3,S17,4,S18,2,False
S4,Out,S1,9,S10,6,In,S3,6,S8,4,S9,4,S18,3,False
S5,Out,S0,0,S14,1,In,S0,1,S1,3,S2,9,S10,2,False
S6,Out,S2,8,S16,6,In,S2,3,S14,8,S15,8,S19,2,S16,4,False
S7,Out,S3,7,S12,5,S17,2,In,S1,2,True
S8,Out,S4,4,In,S0,3,False
S9,Out,S4,4,In,S3,4,False
S10,Out,S5,2,In,S4,6,False
S11,Out,S3,3,S18,8,S19,5,In,S2,4,False
S12,Out,S2,6,S15,2,In,S7,5,S13,6,False
S13,Out,S12,6,In,S2,0,False
S14,Out,S6,8,In,S5,1,False
S15,Out,S6,8,In,S12,2,False
S16,Out,S1,0,S6,4,In,S6,6,False
S17,Out,S3,4,In,S7,2,False
S18,Out,S3,2,S4,3,In,S11,8,False
S19,Out,S6,2,In,S11,5,False
